,price,year,manufacturer,model,condition,odometer,cylinders,fuel,title_status,transmission,drive,type,paint_color,state
16171,15995,2019,toyota,coro,like new,30286.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,id
47141,10393,2014,chrysler,town,excellent,132217.0,6 cylinders,gas,clean,automatic,fwd,mini-van,silver,tn
52272,10500,2013,honda,civi,excellent,81209.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,va
8784,9999,2014,nissan,maxi,excellent,144809.0,6 cylinders,gas,clean,automatic,fwd,sedan,silver,ca
3316,14499,2008,toyota,tund,excellent,208000.0,8 cylinders,gas,clean,automatic,4wd,truck,white,ca
25846,8495,2012,hyundai,sant,good,163535.0,4 cylinders,gas,clean,automatic,4wd,SUV,white,mi
50091,19295,1999,porsche,911,good,147191.0,6 cylinders,gas,clean,automatic,rwd,coupe,red,tx
14832,18998,2011,chevrolet,silv,like new,180000.0,8 cylinders,gas,clean,automatic,4wd,pickup,blue,fl
28426,8000,2012,gmc,acad,excellent,140000.0,6 cylinders,gas,clean,automatic,fwd,SUV,white,ms
14966,19900,2014,ford,expl,like new,97304.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,fl
13726,12800,2013,subaru,outb,excellent,108225.0,6 cylinders,gas,clean,automatic,4wd,wagon,blue,fl
5763,18000,2017,subaru,lega,excellent,65000.0,6 cylinders,gas,clean,automatic,4wd,sedan,white,ca
32231,7300,2002,bmw,525i,excellent,90000.0,6 cylinders,gas,clean,automatic,rwd,sedan,silver,nv
32971,7450,2010,subaru,outb,excellent,112000.0,4 cylinders,gas,clean,automatic,4wd,wagon,green,nj
9731,7000,2011,ford,fusi,excellent,57647.0,6 cylinders,hybrid,clean,automatic,fwd,sedan,blue,co
33483,7450,2013,ford,taur,excellent,137100.0,6 cylinders,gas,clean,automatic,4wd,sedan,blue,nj
6262,17995,2015,ford,expl,good,130510.0,6 cylinders,gas,clean,automatic,4wd,other,red,ca
54970,15900,2014,ram,1500,good,120539.0,8 cylinders,gas,clean,automatic,4wd,truck,grey,wi
9485,11488,2009,toyota,venz,excellent,108114.0,6 cylinders,gas,clean,automatic,4wd,SUV,grey,co
54542,16900,2012,cadillac,esca,good,158808.0,8 cylinders,gas,clean,automatic,4wd,SUV,black,wi
12946,9900,2012,mini,coop,excellent,108301.0,4 cylinders,gas,clean,automatic,fwd,sedan,green,fl
48193,6200,2015,mazda,5,excellent,138000.0,4 cylinders,gas,clean,automatic,fwd,mini-van,grey,tx
7162,18500,2019,nissan,rogu,like new,47000.0,4 cylinders,gas,clean,automatic,fwd,other,silver,ca
42044,18988,2005,gmc,sier,excellent,134000.0,6 cylinders,diesel,clean,automatic,4wd,pickup,blue,or
36095,12995,2014,toyota,camr,excellent,64830.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,ny
21055,5950,2007,ford,esca,like new,131000.0,6 cylinders,gas,clean,automatic,4wd,SUV,silver,ks
5005,6497,2009,subaru,fore,good,154000.0,4 cylinders,gas,clean,automatic,4wd,wagon,blue,ca
2960,7900,2011,chevrolet,trav,excellent,153000.0,6 cylinders,gas,clean,automatic,fwd,SUV,blue,ca
47884,10895,2012,chevrolet,subu,excellent,205885.0,8 cylinders,gas,clean,automatic,rwd,SUV,white,tx
41747,8500,2007,chevrolet,subu,good,197000.0,8 cylinders,gas,clean,automatic,4wd,SUV,white,or
29056,16800,2017,chevrolet,trav,good,55123.0,6 cylinders,gas,clean,automatic,fwd,SUV,silver,mo
36705,20999,2015,bmw,740l,like new,88000.0,6 cylinders,gas,clean,automatic,4wd,sedan,black,ny
28077,12999,2013,toyota,venz,excellent,145803.0,6 cylinders,gas,clean,automatic,fwd,wagon,grey,mn
28846,12495,2017,ford,esca,excellent,122646.0,4 cylinders,gas,clean,automatic,fwd,SUV,silver,mo
21861,13000,2012,nissan,fron,good,130000.0,6 cylinders,gas,lien,manual,4wd,truck,black,ky
25514,11995,2015,volkswagen,golf,like new,125000.0,4 cylinders,diesel,clean,automatic,fwd,sedan,blue,mi
23146,22990,2014,lexus,gs35,good,53050.0,6 cylinders,gas,clean,automatic,rwd,sedan,white,md
1824,17995,2018,chevrolet,colo,excellent,119316.0,4 cylinders,gas,clean,automatic,rwd,pickup,white,az
50101,20000,2013,chevrolet,taho,like new,81000.0,8 cylinders,gas,clean,automatic,rwd,SUV,black,tx
5087,8900,2016,dodge,gran,excellent,0.0,6 cylinders,gas,clean,automatic,fwd,van,white,ca
46050,16500,2004,ram,3500,good,196000.0,6 cylinders,diesel,clean,manual,4wd,truck,red,sc
29239,21650,2018,chrysler,300l,like new,45224.0,6 cylinders,gas,clean,automatic,rwd,sedan,grey,mt
41238,11988,2013,subaru,wrx,like new,150000.0,4 cylinders,gas,clean,manual,4wd,sedan,blue,ok
30039,10450,2011,subaru,outb,excellent,138755.0,4 cylinders,gas,clean,automatic,4wd,wagon,silver,nc
41962,9500,2014,chrysler,200,good,110000.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,or
20164,10950,2014,ford,edge,excellent,104000.0,6 cylinders,gas,rebuilt,automatic,4wd,SUV,red,ia
51404,6995,2010,honda,acco,excellent,137382.0,6 cylinders,gas,clean,automatic,fwd,sedan,silver,vt
55770,16995,2014,ford,flex,like new,84787.0,6 cylinders,gas,clean,automatic,4wd,SUV,red,wy
31183,6000,1996,ford,f150,good,265000.0,6 cylinders,gas,clean,manual,4wd,pickup,red,nc
33947,6500,2004,lincoln,navi,excellent,165000.0,8 cylinders,gas,clean,automatic,4wd,SUV,white,nm
